administration_id,age,lab_age,lab_age_units,monitor_size_x,monitor_size_y,sample_rate,tracker,coding_method,dataset_id,subject_id,dataset_name,sex,native_language,lab_subject_id
375,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,234,adams_marchman_2018,female,eng,12878
376,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,234,adams_marchman_2018,female,eng,12878
377,17,17,months,NA,NA,30,video_camera,manual gaze coding,5,235,adams_marchman_2018,female,eng,12959
378,17,17,months,NA,NA,30,video_camera,manual gaze coding,5,235,adams_marchman_2018,female,eng,12959
379,19,19,months,NA,NA,30,video_camera,manual gaze coding,5,235,adams_marchman_2018,female,eng,12959
380,19,19,months,NA,NA,30,video_camera,manual gaze coding,5,235,adams_marchman_2018,female,eng,12959
381,15,15,months,NA,NA,30,video_camera,manual gaze coding,5,236,adams_marchman_2018,female,eng,12971
382,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,236,adams_marchman_2018,female,eng,12971
383,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,236,adams_marchman_2018,female,eng,12971
384,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,236,adams_marchman_2018,female,eng,12971
385,13,13,months,NA,NA,30,video_camera,manual gaze coding,5,237,adams_marchman_2018,male,eng,12973
386,13,13,months,NA,NA,30,video_camera,manual gaze coding,5,237,adams_marchman_2018,male,eng,12973
387,19,19,months,NA,NA,30,video_camera,manual gaze coding,5,237,adams_marchman_2018,male,eng,12973
388,15,15,months,NA,NA,30,video_camera,manual gaze coding,5,238,adams_marchman_2018,female,eng,13044
389,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,238,adams_marchman_2018,female,eng,13044
390,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,238,adams_marchman_2018,female,eng,13044
391,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,238,adams_marchman_2018,female,eng,13044
392,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,239,adams_marchman_2018,female,eng,13061
393,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,239,adams_marchman_2018,female,eng,13061
394,19,19,months,NA,NA,30,video_camera,manual gaze coding,5,239,adams_marchman_2018,female,eng,13061
395,19,19,months,NA,NA,30,video_camera,manual gaze coding,5,239,adams_marchman_2018,female,eng,13061
396,15,15,months,NA,NA,30,video_camera,manual gaze coding,5,240,adams_marchman_2018,male,eng,13069
397,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,240,adams_marchman_2018,male,eng,13069
398,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,240,adams_marchman_2018,male,eng,13069
399,19,19,months,NA,NA,30,video_camera,manual gaze coding,5,240,adams_marchman_2018,male,eng,13069
400,15,15,months,NA,NA,30,video_camera,manual gaze coding,5,241,adams_marchman_2018,male,eng,13073
401,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,241,adams_marchman_2018,male,eng,13073
